name,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_happiness,base_total,capture_rate,classification,defense,height_m,hp,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
Bulbasaur,"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,70,318,45,Seed,49,0.7,45,88.1,1,65,65,45,grass,poison,6.9,1,0
Ivysaur,"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,70,405,45,Seed,63,1,60,88.1,2,80,80,60,grass,poison,13,1,0
Venusaur,"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,70,625,45,Seed,123,2,80,88.1,3,122,120,80,grass,poison,100,1,0
Charmander,"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,70,309,45,Lizard,43,0.6,39,88.1,4,60,50,65,fire,,8.5,1,0
Charmeleon,"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,70,405,45,Flame,58,1.1,58,88.1,5,80,65,80,fire,,19,1,0
Charizard,"['Blaze', 'Solar Power']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,70,634,45,Flame,78,1.7,78,88.1,6,159,115,100,fire,flying,90.5,1,0
Squirtle,"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,70,314,45,Tiny Turtle,65,0.5,44,88.1,7,50,64,43,water,,9,1,0
Wartortle,"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,70,405,45,Turtle,80,1,59,88.1,8,65,80,58,water,,22.5,1,0
Blastoise,"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,70,630,45,Shellfish,120,1.6,79,88.1,9,135,115,78,water,,85.5,1,0
Caterpie,"['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,70,195,255,Worm,35,0.3,45,50,10,20,20,45,bug,,2.9,1,0
Metapod,['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,70,205,120,Cocoon,55,0.7,50,50,11,25,25,30,bug,,9.9,1,0
Butterfree,"['Compoundeyes', 'Tinted Lens']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,70,395,45,Butterfly,50,1.1,60,50,12,90,80,70,bug,flying,32,1,0
Weedle,"['Shield Dust', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,70,195,255,Hairy,30,0.3,40,50,13,20,20,50,bug,poison,3.2,1,0
Kakuna,['Shed Skin'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,70,205,120,Cocoon,50,0.6,45,50,14,25,25,35,bug,poison,10,1,0
Beedrill,"['Swarm', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,70,495,45,Poison Bee,40,1,65,50,15,15,80,145,bug,poison,29.5,1,0
Pidgey,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,70,251,255,Tiny Bird,40,0.3,40,50,16,35,35,56,normal,flying,1.8,1,0
Pidgeotto,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,70,349,120,Bird,55,1.1,63,50,17,50,50,71,normal,flying,30,1,0
Pidgeot,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,70,579,45,Bird,80,1.5,83,50,18,135,80,121,normal,flying,39.5,1,0
Rattata,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,70,253,255,Mouse,35,,30,50,19,25,35,72,normal,dark,,1,0
Raticate,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,70,413,127,Mouse,70,,75,50,20,40,80,77,normal,dark,,1,0
Spearow,"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,70,262,255,Tiny Bird,30,0.3,40,50,21,31,31,70,normal,flying,2,1,0
Fearow,"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,70,442,90,Beak,65,1.2,65,50,22,61,61,100,normal,flying,38,1,0
